libraryPageTitle,libraryUrl,collectionUrl,collectionPageTitle,section
Biographical sketch of Charles Darwin and the Darwin commemoration at Cambridge,wellcomelibrary.org/item/b22425123,https://wellcomecollection.org/works/qb35esr8,Biographical sketch of Charles Darwin and the Darwin commemoration at Cambridge,item
Toshin seiyo.,wellcomelibrary.org/item/b20662944,https://wellcomecollection.org/works/m6qq3tmp,Toshin seiyo.,item
"Evolution of household articles, animals etc. according to Darwin's doctrine.",wellcomelibrary.org/item/b16804065,https://wellcomecollection.org/works/dx2zvrpf,"Evolution of household articles, animals etc. according to Darwin's doctrine.",item
"Peking, Pechili province, China: Yi Xin (Prince Gong).",wellcomelibrary.org/item/b11775105,https://wellcomecollection.org/works/ry9g6ebw,"Peking, Pechili province, China: Yi Xin (Prince Gong).",item
Bottles labelled with humorous quotations comparing healthy lifestyle with excessive drinking,wellcomelibrary.org/item/b16637835,https://wellcomecollection.org/works/zg4g3gzd,Bottles labelled with humorous quotations comparing healthy lifestyle with excessive drinking,item
To the health : Burdock Blood Bitters.,wellcomelibrary.org/item/b2868624x,https://wellcomecollection.org/works/mzfepu4d,To the health : Burdock Blood Bitters.,item
"The name ""H. Cline""",wellcomelibrary.org/item/b15881386,https://wellcomecollection.org/works/bk2r4a3w,"The name ""H. Cline""",item
Tusk of the narwhal,wellcomelibrary.org/item/b14657314,https://wellcomecollection.org/works/th72q8u5,Tusk of the narwhal,item
5 letters from Sir Thomas Longmore to Baron Larrey,wellcomelibrary.org/item/b19307214,https://wellcomecollection.org/works/fz8rnfds,5 letters from Sir Thomas Longmore to Baron Larrey,item
Daddy cool,wellcomelibrary.org/item/b28516266,https://wellcomecollection.org/works/r6fsquw6,Daddy cool,item
Etmullerus abridg'd,wellcomelibrary.org/item/b22885651,https://wellcomecollection.org/works/g24u6b49,Etmullerus abridg'd,item
The biocrats,wellcomelibrary.org/item/b18035978,https://wellcomecollection.org/works/zjytxny8,The biocrats,item
Burdock Blood Bitters,wellcomelibrary.org/player/b2868624,https://wellcomecollection.org/works/mzfepu4d, Burdock Blood Bitters, player
Health its friends and its foes,wellcomelibrary.org/player/b2114332,https://wellcomecollection.org/works/ct3663dw, Health its friends and its foes, player
International exhibition on wellness,wellcomelibrary.org/player/b1754225,https://wellcomecollection.org/works/hre497n5, International exhibition on wellness, player
